,file,label,x0,y0,x1,y1,x_norm0,y_norm0,x_norm1,y_norm1
0,data\kanade\cohn-kanade-images\S005\001\S005_001_00000011.png,3.0,216,74,528,418,0.33850092,0.15130988,0.8257955,0.8535553
1,data\kanade\cohn-kanade-images\S010\002\S010_002_00000014.png,7.0,262,89,504,444,0.40958658,0.18334037,0.7876953,0.90623385
2,data\kanade\cohn-kanade-images\S010\004\S010_004_00000019.png,1.0,266,95,505,430,0.4170364,0.19442728,0.7903688,0.8778435
3,data\kanade\cohn-kanade-images\S010\006\S010_006_00000015.png,5.0,261,93,509,419,0.4082708,0.19127268,0.7957983,0.8552249
4,data\kanade\cohn-kanade-images\S011\001\S011_001_00000016.png,7.0,259,81,517,447,0.40623176,0.16540849,0.80793893,0.9130471
5,data\kanade\cohn-kanade-images\S011\001\S011_001_00000001.png,0.0,259,81,517,447,0.40623176,0.16540849,0.80793893,0.9130471
6,data\kanade\cohn-kanade-images\S011\002\S011_002_00000022.png,6.0,264,94,518,420,0.41294914,0.19349906,0.8108564,0.8590876
7,data\kanade\cohn-kanade-images\S011\002\S011_002_00000001.png,0.0,264,94,518,420,0.41294914,0.19349906,0.8108564,0.8590876
8,data\kanade\cohn-kanade-images\S011\003\S011_003_00000014.png,4.0,255,90,513,406,0.3986422,0.18503192,0.8023468,0.8292625
9,data\kanade\cohn-kanade-images\S011\003\S011_003_00000001.png,0.0,255,90,513,406,0.3986422,0.18503192,0.8023468,0.8292625
10,data\kanade\cohn-kanade-images\S011\004\S011_004_00000021.png,1.0,263,95,522,409,0.41106218,0.19543642,0.81608063,0.8356121
11,data\kanade\cohn-kanade-images\S011\005\S011_005_00000020.png,3.0,256,94,514,424,0.40008438,0.19184947,0.80417335,0.86614287
12,data\kanade\cohn-kanade-images\S011\005\S011_005_00000001.png,0.0,256,94,514,424,0.40008438,0.19184947,0.80417335,0.86614287
13,data\kanade\cohn-kanade-images\S011\006\S011_006_00000013.png,5.0,264,88,521,416,0.41284204,0.18025151,0.8155303,0.8495666
14,data\kanade\cohn-kanade-images\S011\006\S011_006_00000001.png,0.0,264,88,521,416,0.41284204,0.18025151,0.8155303,0.8495666
15,data\kanade\cohn-kanade-images\S014\001\S014_001_00000029.png,7.0,247,93,502,437,0.38613352,0.19057503,0.7858386,0.89294815
16,data\kanade\cohn-kanade-images\S014\002\S014_002_00000016.png,6.0,249,99,499,431,0.3896055,0.20392203,0.7799542,0.88066506
17,data\kanade\cohn-kanade-images\S014\002\S014_002_00000001.png,0.0,249,99,499,431,0.3896055,0.20392203,0.7799542,0.88066506
18,data\kanade\cohn-kanade-images\S014\003\S014_003_00000030.png,1.0,252,106,500,427,0.39456117,0.21817654,0.7824335,0.87298995
19,data\kanade\cohn-kanade-images\S014\005\S014_005_00000017.png,5.0,249,98,503,427,0.38962317,0.20130622,0.7874143,0.87232864
20,data\kanade\cohn-kanade-images\S014\005\S014_005_00000001.png,0.0,249,98,503,427,0.38962317,0.20130622,0.7874143,0.87232864
21,data\kanade\cohn-kanade-images\S022\001\S022_001_00000030.png,7.0,243,82,442,372,0.3804058,0.16804507,0.6911464,0.75960696
22,data\kanade\cohn-kanade-images\S022\001\S022_001_00000001.png,0.0,243,82,442,372,0.3804058,0.16804507,0.6911464,0.75960696
23,data\kanade\cohn-kanade-images\S022\005\S022_005_00000032.png,1.0,249,89,448,360,0.39007604,0.18293288,0.700083,0.73631704
24,data\kanade\cohn-kanade-images\S022\005\S022_005_00000001.png,0.0,249,89,448,360,0.39007604,0.18293288,0.700083,0.73631704
25,data\kanade\cohn-kanade-images\S022\006\S022_006_00000017.png,3.0,242,89,444,361,0.3794832,0.18192855,0.6946455,0.7376518
26,data\kanade\cohn-kanade-images\S026\001\S026_001_00000015.png,7.0,243,84,432,366,0.3803557,0.1722101,0.6752198,0.7479061
